;Russia GPR index;State-Controlled Russia GPR index;Independent Russia GPR index;Anglosphere GPR index;Ukraine GPR index;Germany GPR index;United Kingdom GPR index;United States GPR index;Anglosphere sanctions intensity index;Russia sancions intensity index
01. Mai 02;;12.88;;6.34;1.18;3.35;4.94;7.02;0.12;
01. Jun 02;;16.2;;5.89;3.33;2.65;4.41;6.62;0.05;
01. Jul 02;11.72;11.36;19.92;4.42;1.97;2.65;3.33;4.91;0.05;0.35
01. Aug 02;12.9;12.73;16.81;4.74;1.83;3.43;4.66;4.82;0.1;0.41
01. Sep 02;13.94;13.43;22.77;7.94;1.81;4.35;7.47;8.05;0.29;0.39
01. Okt 02;13.11;12.83;17.9;7.04;2.14;3.45;5.59;7.64;0.18;0.27
01. Nov 02;13.37;12.98;22.22;6.37;1.4;3.49;6.17;6.57;0.14;0.27
01. Dez 02;13.16;13.02;16.15;6.94;2.33;3.53;6.07;7.16;0.2;0.29
01. Jan 03;13.5;13.32;18.27;8.79;2.63;6.16;8.02;9.04;0.37;0.26
01. Feb 03;14.39;14.07;21.19;11.27;1.9;6.71;11.59;11.03;0.28;0.31
01. Mrz 03;18.38;18.12;24.43;16.3;3.6;9;13.23;17.16;0.22;0.34
01. Apr 03;15.3;14.87;26.88;11.14;5.29;6.24;8.96;12.28;0.44;0.28
01. Mai 03;13.31;13.07;17.45;6.45;5.48;3.78;5.56;7.01;0.32;0.55
01. Jun 03;12.13;11.7;21.03;5.08;5.73;3.36;4;5.55;0.12;0.12
01. Jul 03;11.58;11.47;14.09;4.68;5.28;3.56;3.62;5.16;0.07;0.35
01. Aug 03;13.17;12.67;24.81;5.41;5.38;3.73;4.8;5.81;0.1;0.22
01. Sep 03;11.4;11.04;18.91;4.52;4.03;3.02;3.92;4.95;0.12;0.23
01. Okt 03;10.95;10.61;18.32;4.18;5.37;3.1;3.67;4.52;0.13;0.27
01. Nov 03;10.18;9.91;15.83;4.85;3.93;3.35;3.92;5.3;0.1;0.21
01. Dez 03;11.14;10.87;17.72;5.42;2.38;3.19;4.31;5.95;0.17;0.22
01. Jan 04;12.38;12.13;19.34;4.25;4.07;2.99;3.2;4.73;0.1;0.31
01. Feb 04;10.19;9.91;17.78;4.63;4.66;3.28;3.84;5.13;0.07;0.19
01. Mrz 04;10.94;10.69;17.54;5.95;3.75;3.23;5.29;6.32;0.08;0.26
01. Apr 04;12.2;11.88;20;6.18;3.69;3.31;5.18;6.92;0.08;0.21
01. Mai 04;10.47;10.19;18.18;5.18;6.09;2.92;3.68;6.01;0.1;0.07
01. Jun 04;11.04;10.82;17.51;5.58;4.17;2.73;3.91;6.44;0.06;0.31
01. Jul 04;11.41;11.18;15.43;5.49;3.26;2.17;4.02;6.27;0.07;0.22
01. Aug 04;11.75;11.42;18.06;6.15;2.48;2.74;4.28;6.94;0.08;0.29
01. Sep 04;13.45;13.14;21.72;6.26;4.74;3.28;5.09;6.92;0.11;0.25
01. Okt 04;11.08;10.59;23.19;5.81;3.21;3.1;4.34;6.65;0.14;0.27
01. Nov 04;11.5;10.97;22.82;5.14;2.63;3.56;3.8;5.79;0.2;0.24
01. Dez 04;10.51;10.22;18.29;4.65;2.48;2.39;3.39;5.18;0.14;0.19
01. Jan 05;11.75;11.32;20;4.18;4.18;2.85;3.09;4.8;0.11;0.15
01. Feb 05;10.85;10.53;18.08;4.43;3.39;3.28;3.62;4.97;0.17;0.37
01. Mrz 05;10.64;10.24;21.43;3.87;4;2.85;3.52;4.1;0.18;0.31
01. Apr 05;10.8;10.43;17.96;3.79;3.63;2.74;3.5;4.18;0.08;0.22
01. Mai 05;12.21;11.5;25.98;4.1;3.79;3.09;2.91;4.79;0.18;0.22
01. Jun 05;10.07;9.84;16.6;3.24;3.59;2.08;2.38;3.75;0.11;0.15
01. Jul 05;10.71;10.45;17.62;5.77;4.06;2.44;5.51;6.03;0.06;0.1
01. Aug 05;10.78;10.33;22.01;4.64;3.6;3.17;4.57;4.82;0.19;0.16
01. Sep 05;9.4;9.18;15.19;3.94;2.69;2.63;3.49;4.34;0.1;0.09
01. Okt 05;9.89;9.55;18.3;3.73;3.49;2.75;2.83;4.26;0.09;0.26
01. Nov 05;10.12;9.86;17.1;3.85;3.76;2.35;3.22;4.34;0.12;0.24
01. Dez 05;9.83;9.4;14.49;3.83;4.65;2.5;2.96;4.4;0.05;0.17
01. Jan 06;11.31;11.22;12.58;3.83;4.83;3.51;2.97;4.44;0.32;0.16
01. Feb 06;11.84;11.89;11.33;3.7;4.14;2.19;3.15;4.09;0.22;0.23
01. Mrz 06;10.79;10.9;9.58;3.72;3.55;1.9;2.51;4.31;0.15;0.31
01. Apr 06;10.9;10.79;12.04;3.72;5.42;2.39;3.06;4.14;0.19;0.21
01. Mai 06;11.27;11.08;13.55;3.61;5.72;1.67;2.44;4.2;0.25;0.31
01. Jun 06;11.04;10.89;12.92;4.17;6.05;1.75;3.22;4.7;0.21;0.32
